customer_no,buytabw,tabordrs,divsords,divwords,spgtabord,moslsdvs,moslsdvw,moslstab,orders
38,0,7,0,4,3,42,11.0053,0.6242,8
39,0,6,7,2,4,6.1761,11.5966,12.4507,22
40,0,11,2,5,3,0.5913,0.3942,0.3942,22
41,1,15,2,10,7,9.9869,0.0657,2.6938,34
42,0,1,1,0,1,0.3942,42,6.1104,2
43,0,2,0,4,2,42,9.7898,5.4862,17
44,0,8,0,12,7,42,1.9711,2.3653,28
45,0,5,0,6,2,42,5.7162,5.7162,9
46,0,3,1,4,2,1.7083,23.0946,5.9461,12
47,0,1,5,4,1,1.2484,1.4783,22.0434,32
48,1,4,4,1,0,1.0184,12.5493,1.0184,8
49,0,9,4,7,1,10.2825,5.4205,1.5112,23
50,0,9,0,6,5,42,3.318,4.6649,22
51,0,2,6,14,1,0.5585,2.2011,24.7043,33
52,0,3,3,0,2,5.6505,42,5.6505,4
53,1,1,0,6,0,42,1.9382,10.4796,10
54,1,15,3,16,14,11.8594,1.7411,1.7411,22
55,0,0,0,2,0,42,8.2457,42,8
56,1,21,1,33,8,19.908,4.1721,4.1721,54
57,0,1,0,0,1,42,42,4.3035,8
58,0,3,0,1,0,42,6.8003,2.2339,7
59,1,4,1,5,3,13.2063,13.2063,11.6951,13
60,0,0,4,2,0,13.6005,16.8528,42,23
61,0,3,3,5,3,4.1721,0.1971,4.1721,10
62,0,4,1,5,1,10.1511,8.7714,11.7937,19
63,0,5,0,2,4,42,23.7516,5.3548,9
64,0,6,0,5,3,42,5.3548,0.0986,18
65,0,6,5,3,2,11.8594,6.3403,6.636,9
66,0,4,1,6,2,20.3022,12.7464,8.9356,17
67,1,21,10,21,16,2.3982,1.4783,1.4783,29
68,0,1,0,1,0,42,18.8896,1.4783,8
69,1,4,0,5,2,42,4.3035,6.0775,8
70,0,7,0,10,4,42,8.6399,8.4757,12
71,0,13,5,10,10,6.0775,0.1314,4.435,21
72,0,8,0,13,5,42,9.6255,6.3403,18
73,0,5,3,13,4,11.4652,2.3653,9.3955,17
74,0,15,1,10,9,10.3154,4.9934,1.5112,23
75,0,5,3,14,1,5.8804,0.1314,0.1314,18
76,0,3,1,5,2,7.7201,8.18,6.2746,12
77,0,1,3,4,0,6.4717,6.4717,25.3614,10
78,0,3,0,5,3,42,6.3403,6.3403,8
79,0,7,2,2,4,9.4612,6.0775,5.092,23
80,0,4,0,1,2,42,18.5283,0.5256,12
81,1,21,11,10,10,0.5913,0.0329,0.0329,34
82,0,14,3,6,9,8.4757,6.7346,6.7346,22
83,0,3,2,5,3,28.3509,0.1643,1.7083,9
84,0,0,0,0,0,42,42,42,7
85,0,0,2,11,0,21.7148,4.0079,42,29
86,0,2,0,6,1,42,3.7779,23.9488,11
87,0,11,7,11,4,0.1643,0.3285,0.1643,39
88,1,11,5,12,5,6.406,0.3614,0.3614,17
89,1,7,1,5,3,0.3614,0.3614,0.3614,14
90,0,2,0,1,0,42,9.4612,2.3982,12
91,0,5,4,14,1,2.8581,0.5256,9.9869,21
92,0,2,0,0,2,42,42,4.435,3
93,0,5,0,1,2,42,25.3942,7.0959,6
94,1,5,2,7,3,15.4731,0.7884,10.5453,13
95,1,16,4,29,8,2.4967,0.5913,9.954,33
96,0,3,1,4,3,6.7674,0.7556,2.7924,7
97,1,10,2,10,7,9.6255,3.5151,6.0118,12
98,0,1,0,2,1,42,8.41,18.5283,8
99,1,8,3,1,3,3.5808,3.5808,1.3141,11
100,0,5,0,7,0,42,1.9382,10.6767,18
101,0,5,1,3,2,25.0329,13.8633,0.7556,14
102,0,1,0,3,1,42,1.544,31.7017,5
103,0,5,2,2,2,1.0184,9.3955,9.3955,22
104,1,8,5,13,5,6.0775,0.5585,6.0775,17
105,0,0,1,5,0,4.2707,4.0407,42,6
106,0,0,0,0,0,42,42,42,1
107,1,10,7,12,6,6.406,5.4205,0.7556,28
108,1,24,5,29,8,6.0118,0.5913,0.5913,45
109,1,9,0,2,5,42,16.1629,3.5808,14
110,0,5,5,2,0,0.7884,0.9855,1.544,18
111,0,0,0,2,0,42,6.7674,42,8
112,0,2,3,14,2,9.5926,1.7083,25.2628,20
113,0,4,3,6,2,21.2549,15.4402,5.3876,8
114,0,1,0,3,0,42,7.0302,25.8213,23
115,0,10,5,4,2,10.6439,8.7057,8.7057,12
116,0,3,1,4,2,22.6347,5.6505,15.5059,7
117,0,3,5,4,1,11.6951,6.1761,3.5808,10
118,0,5,0,7,1,42,2.6938,4.435,11
119,0,2,0,2,2,42,4.5007,2.7924,7
120,0,4,0,4,3,42,4.6321,2.0039,6
121,0,3,0,0,2,42,42,7.4901,7
122,0,0,0,5,0,42,2.4639,42,16
123,0,3,1,3,3,20.2037,8.18,7.0959,10
124,0,1,0,0,1,42,42,0.2628,3
125,1,5,0,3,2,42,6.406,4.9934,7
126,0,3,0,5,1,42,2.2339,6.5703,11
127,1,3,1,1,1,7.6216,9.8555,0.3285,13
128,0,3,4,1,3,13.5348,22.2733,6.866,12
129,0,12,2,12,6,1.0184,1.0184,1.0184,16
130,0,14,3,12,0,8.3114,8.7714,8.3114,30
131,0,7,3,5,4,9.5926,6.866,10.9396,17
132,0,3,2,8,1,10.5125,0.3285,5.3876,12
133,0,7,9,2,6,0.3285,6.7346,3.8436,28
134,0,0,1,0,0,5.6505,42,42,4
135,0,9,0,0,5,42,42,3.1537,14
136,0,3,5,5,0,8.41,11.3338,21.2878,14
137,0,1,0,0,0,42,42,1.7411,6
138,0,6,4,1,3,8.7714,12.5493,6.636,15
139,0,4,0,4,2,42,0.3614,6.866,11
140,0,1,1,7,1,32.0959,2.8581,4.8949,11
141,0,15,3,5,7,6.1104,0.8213,0.8213,25
142,0,1,0,0,1,42,42,5.1248,4
143,0,4,3,9,1,9.0342,0.0657,10.611,26
144,0,7,3,3,4,9.3955,9.3955,15.6702,24
145,1,2,0,20,2,42,1.0184,6.2746,30
146,0,3,0,1,0,42,21.912,2.3982,5
147,0,22,4,13,11,3.8436,3.975,0.2957,24
148,0,3,2,6,1,10.4796,10.4796,8.1143,15
149,1,12,3,14,7,2.7924,0.0657,1.3141,18
150,1,18,1,20,9,26.5112,0.0986,4.435,23
151,0,3,0,0,2,42,42,1.3141,6
152,0,4,2,10,3,6.5046,6.5046,6.5046,17
153,0,4,1,11,4,3.2523,0.5256,5.4862,15
154,1,6,2,5,3,6.0118,0.0986,6.0118,7
155,0,1,0,0,1,42,42,2.5953,2
156,0,3,0,0,1,42,42,4.0407,5
157,0,3,1,1,2,7.6873,2.3982,19.2838,16
158,0,4,8,8,3,5.1577,5.1577,5.1577,45
159,1,8,1,6,0,30.6833,0.5256,1.2155,25
160,0,13,1,4,5,31.5375,4.2707,2.1353,31
161,0,9,0,2,4,42,2.1682,1.117,13
162,0,14,0,18,5,42,0.7556,0.7556,21
163,1,11,2,10,8,6.7674,5.2562,5.2562,13
164,0,4,0,2,2,42,0.0986,0.0986,9
165,0,0,0,1,0,42,5.8476,42,1
166,1,18,2,15,12,13.1735,4.5335,2.0039,29
167,1,19,1,14,11,11.0053,1.544,1.544,27
168,0,16,0,4,9,42,3.8436,3.8436,21
169,0,3,0,5,1,42,0.5585,6.0447,10
170,0,12,0,5,6,42,6.7674,1.5769,19
171,0,0,0,4,0,42,9.6255,42,12
172,1,51,0,49,27,42,0.0329,0.0329,57
173,0,0,0,3,0,42,1.5112,42,3
174,0,2,1,3,2,7.0302,6.866,4.2707,7
175,0,6,3,8,4,2.3982,5.2562,8.6399,14
176,0,37,3,19,17,2.431,0.4271,0.5913,56
177,0,12,1,17,5,8.3443,2.2339,11.3666,29
178,0,0,0,0,0,42,42,42,4
179,1,25,4,19,11,10.5453,4.9606,4.9606,42
180,1,7,1,4,3,16.6229,3.1209,5.9461,11
181,0,15,5,4,9,0.8213,7.7858,0.8213,35
182,1,6,3,13,3,2.661,1.8725,1.9054,22
183,1,6,0,5,5,42,9.9869,4.4678,9
184,0,4,0,1,3,42,29.0079,5.9461,10
185,0,7,1,6,6,5.7162,11.8594,5.1577,16
186,0,7,9,8,3,0.4928,0.4928,3.7779,31
187,0,6,2,1,4,0.8213,10.0526,1.5112,9
188,0,0,0,0,0,42,42,42,2
189,0,3,5,2,0,2.4967,28.7122,2.4967,10
190,0,2,0,5,1,42,1.0184,1.0512,8
191,1,11,1,1,4,14.159,20.3679,2.2339,25
192,0,6,0,3,6,42,18.7582,4.9606,10
193,0,1,0,2,0,42,0.0657,0.0657,4
194,0,3,3,2,2,2.431,0.4928,0.5585,15
195,0,1,0,1,0,42,8.9356,8.9356,1
196,0,14,3,9,7,22.339,2.4639,4.8949,21
197,0,1,0,1,0,42,5.3219,15.8344,3
198,0,16,1,13,12,27.2668,3.0223,3.2852,24
199,0,0,0,1,0,42,4.9606,42,4
200,0,0,0,0,0,42,42,42,7
201,1,6,2,8,4,22.2076,7.0302,9.4612,14
202,0,1,0,1,0,42,11.1367,11.1367,6
203,0,1,0,0,1,42,42,5.3219,4
204,0,5,4,12,1,1.2484,0.5913,0.5913,17
205,1,10,0,4,4,42,0.2957,0.2957,15
206,0,3,4,1,1,1.4126,13.8962,1.4126,13
207,1,21,13,9,9,0.3285,6.2418,4.5335,28
208,0,11,4,6,5,3.6137,10.5453,3.6137,12
209,0,4,0,5,4,42,1.0841,6.9645,10
210,1,1,2,3,1,9.1327,5.1577,7.0959,5
211,0,4,0,3,2,42,10.2825,10.2825,12
212,0,7,1,4,2,8.4757,16.6886,9.3298,25
213,0,5,1,10,1,1.2155,4.3035,4.5335,15
214,1,10,1,16,6,9.4941,0.2957,2.6281,26
215,0,8,0,7,4,42,2.1353,2.1353,12
216,0,5,0,0,5,42,42,4.9934,6
217,0,2,0,4,1,42,2.431,6.3403,6
218,0,4,0,5,4,42,2.4639,2.4639,9
219,0,2,2,3,0,12.0565,3.1537,12.0565,7
220,0,2,0,1,1,42,19.6124,19.6124,3
221,1,16,1,15,12,26.2484,0.3614,4.9934,25
222,0,10,3,3,5,4.6649,0.3614,4.6649,19
223,0,5,2,7,4,4.5664,4.5664,1.6426,15
224,0,2,2,9,1,10.7096,7.5558,10.7096,10
225,0,11,7,13,7,1.2484,1.2484,1.2484,27
226,1,16,3,15,11,9.7569,5.1905,5.6176,31
227,1,14,5,11,8,9.5926,3.0552,3.0552,24
228,0,18,1,6,15,16.5243,3.5151,3.5151,19
229,0,5,3,2,4,13.4691,5.6505,5.6505,10
230,0,5,1,0,2,21.4849,42,19.2181,13
231,0,8,0,3,2,42,7.7858,6.1761,13
232,0,0,0,2,0,42,8.41,42,3
233,0,1,0,3,1,42,15.7687,15.7687,5
234,0,5,0,2,4,42,0.4271,0.4271,11
235,0,2,2,0,1,9.6255,42,2.5624,6
236,1,15,21,19,7,0.3614,0.0986,2.661,82
237,0,12,5,10,5,3.3837,2.3982,2.8909,23
238,0,8,3,8,1,25.1314,3.975,0.0986,13
239,1,2,0,3,2,42,5.1248,5.1248,3
240,0,5,0,4,4,42,4.6321,4.6321,19
241,1,9,0,9,6,42,0.3285,4.9934,16
242,0,2,0,2,0,42,9.5926,9.5926,5
243,0,0,0,1,0,42,30.6833,42,4
244,0,4,0,1,1,42,29.4678,5.4862,11
245,0,5,2,9,3,30.6176,4.5335,4.5335,14
246,1,12,3,12,7,12.5493,0.1314,0.1314,14
247,0,1,0,5,1,42,0.2957,30.2234,5
248,1,6,1,5,5,30.7162,4.435,4.435,12
249,0,6,5,4,4,8.7714,24.2773,1.9711,15
250,1,3,0,6,2,42,6.3403,7.0959,8
251,0,4,0,9,1,42,4.0407,4.9934,11
252,1,8,0,10,4,42,3.1209,5.1577,15
253,0,10,1,8,8,29.6978,2.6938,2.6938,19
254,0,3,0,8,3,42,2.8909,9.0342,21
255,0,4,2,3,4,3.7122,0.6242,3.7122,11
256,1,9,2,5,7,16.4586,5.1248,1.9382,13
257,1,5,0,13,1,42,1.1827,2.0039,28
258,0,4,2,2,3,2.3325,5.3548,7.0302,9
259,0,1,2,5,1,8.2457,3.7451,28.6137,9
260,0,2,1,6,1,6.5703,6.5703,7.0959,7
261,0,3,0,11,1,42,0.1314,4.435,15
262,0,2,0,1,2,42,22.4376,6.7346,9
263,0,4,0,3,1,42,0.3942,0.3942,8
264,0,3,0,9,2,42,4.9277,12.3193,9
265,1,23,5,7,8,11.5309,6.0775,4.5335,25
266,0,4,4,1,2,21.682,21.7148,21.9448,8
267,0,0,0,1,0,42,4.5007,42,2
268,0,4,0,4,2,42,13.0092,0.4928,12
269,1,16,2,9,8,18.364,1.0184,4.6649,24
270,0,7,0,8,2,42,0.6242,0.6242,17
271,0,8,0,9,4,42,3.7122,3.7122,14
272,0,0,0,0,0,42,42,42,9
273,0,15,9,15,12,2.2011,0.0986,1.774,41
274,0,0,0,1,0,42,5.5519,42,8
275,0,3,3,0,1,6.5046,42,6.5046,4
276,0,0,0,0,0,42,42,42,10
277,1,6,0,3,2,42,9.3955,6.5375,11
278,1,5,1,2,4,15.2431,3.0552,2.2011,11
279,0,0,0,0,0,42,42,42,1
280,0,14,3,2,5,28.9422,1.544,1.544,17
281,0,2,0,1,1,42,10.5453,3.3837,3
282,0,4,0,4,0,42,0.3942,9.9869,8
283,0,9,1,9,8,9.3955,4.0079,6.3075,19
284,0,1,0,2,1,42,18.2326,18.2326,4
285,0,2,0,1,0,42,7.4901,11.5637,4
286,1,4,0,4,4,42,4.5335,4.5335,14
287,1,1,4,1,1,2.5624,3.3837,6.1104,11
288,0,8,1,5,5,27.7924,16.2943,1.7083,16
289,0,3,0,2,2,42,13.8633,1.2155,12
290,0,4,4,9,4,0.657,5.8476,16.6886,11
291,0,0,0,0,0,42,42,42,9
292,0,1,0,6,0,42,0.5585,25.657,12
293,0,2,2,1,1,0.5585,0.5585,20.8607,11
294,0,2,0,2,2,42,9.5598,18.594,14
295,0,6,0,5,5,42,2.3982,7.5558,12
296,0,5,4,8,4,2.5624,2.5624,7.2273,14
297,1,1,3,5,1,1.544,7.6873,7.6873,18
298,1,0,1,6,0,6.5703,2.0039,42,8
299,0,9,0,0,7,42,42,1.6754,13
300,0,12,0,8,7,42,0.3614,1.8068,18
301,0,5,0,3,3,42,10.0526,6.7674,7
302,0,3,1,2,0,23.5545,11.9908,0.5585,9
303,0,14,1,8,7,4.4021,9.3298,13.4691,27
304,0,5,0,5,3,42,9.9212,8.41,9
305,0,5,0,2,4,42,0.1643,4.3035,6
306,1,3,3,3,1,7.7858,3.1209,10.7096,10
307,0,3,0,2,1,42,7.7858,3.975,13
308,0,1,0,0,1,42,42,5.6176,1
309,0,2,0,3,2,42,4.4021,17.3127,4
310,0,1,2,0,0,15.4402,42,21.3206,9
311,0,1,0,2,0,42,29.9934,21.9448,11
312,0,10,0,0,4,42,42,0.2628,11
313,0,7,1,8,6,25.4271,6.3403,6.3403,17
314,0,2,0,0,1,42,42,4.5335,5
315,0,2,0,5,2,42,5.1905,18.4954,9
316,0,6,0,3,3,42,13.5348,8.6399,11
317,0,5,2,2,3,9.7898,23.883,17.3127,10
318,1,40,14,23,25,4.435,1.0512,2.6938,56
319,0,1,2,2,0,10.8739,0.5256,0.5256,6
320,0,13,5,8,5,2.3982,2.3982,2.3982,14
321,0,9,3,8,3,1.5112,0.8213,0.0329,18
322,0,4,0,2,2,42,9.3298,9.3298,9
323,0,3,2,1,1,1.2812,2.4639,2.4639,12
324,0,10,5,10,7,4.0079,2.6281,3.7779,19
325,0,3,0,4,3,42,3.7122,16.1629,11
326,0,5,1,3,4,15.7687,4.1721,6.4717,10
327,0,6,1,7,5,23.4231,3.088,4.6978,11
328,0,8,0,5,5,42,18.8896,5.4862,16
329,0,0,0,3,0,42,5.8476,42,11
330,1,10,5,16,5,2.8581,3.1537,9.6255,28
331,1,9,1,7,4,1.0184,0.7556,0.7556,12
332,0,6,2,4,4,11.5966,10.2825,5.4862,25
333,0,9,1,1,2,6.0775,13.1406,2.3325,31
334,0,1,0,3,1,42,1.4783,1.4783,6
335,0,2,1,2,2,1.2155,29.0407,29.0407,10
336,0,7,4,1,3,3.3837,11.8594,3.3837,7
337,0,1,1,6,1,19.4152,7.3916,29.5335,10
338,1,7,1,7,2,5.9461,4.9277,3.5808,15
339,0,1,0,0,1,42,42,8.8371,3
340,0,5,0,1,4,42,28.3509,9.0342,8
341,0,2,0,1,1,42,5.4205,13.8633,7
342,0,14,8,16,6,4.2707,0.5256,0.5256,27
343,0,3,0,0,2,42,42,8.8699,4
344,0,7,0,3,2,42,11.0053,0.3942,23
345,0,0,0,1,0,42,0.0657,42,2
346,0,1,2,2,1,10.9396,2.1682,31.6032,11
347,0,5,0,1,4,42,28.8765,6.636,5
348,0,4,3,9,4,5.7162,0.3614,4.4678,13
349,1,6,2,8,1,1.3141,1.9711,1.3141,29
350,0,6,0,4,2,42,10.0854,4.7635,12
351,0,3,0,2,2,42,10.0526,10.0526,8
352,0,6,3,2,4,4.7306,2.2011,17.8384,20
353,0,2,0,12,0,42,9.8226,2.1025,15
354,0,7,1,9,3,12.1551,0.8213,4.0407,20
355,0,4,4,4,2,8.3771,8.3771,7.0959,18
356,0,4,1,5,3,2.5953,1.9711,1.9711,7
357,0,2,1,0,1,9.3955,42,15.7687,3
358,0,5,1,0,2,13.4691,42,6.5375,14
359,1,11,0,7,7,42,0.1643,0.1643,15
360,0,3,0,3,2,42,5.7819,5.7819,7
361,0,3,0,3,1,42,4.8949,10.2825,21
362,0,8,1,11,5,0.5585,0.5585,0.5585,17
363,0,7,1,10,2,21.682,5.1905,1.9054,17
364,0,8,1,10,5,23.0289,2.6281,2.6281,21
365,1,8,0,2,3,42,2.3325,2.3325,10
366,0,4,1,3,4,1.9711,0.3285,1.9711,16
367,0,11,4,8,7,5.2562,1.2484,1.2484,17
368,0,0,0,0,0,42,42,42,5
369,1,14,7,12,8,11.4652,3.548,3.548,18
370,0,4,0,3,0,42,2.661,1.9711,8
371,0,2,0,1,1,42,14.6189,8.6071,3
372,0,6,4,4,3,0.9855,0.3942,4.4021,13
373,0,6,1,4,4,7.0302,7.0302,3.7779,13
374,0,13,2,15,9,9.9212,0.1643,2.661,23
375,0,8,1,9,4,25.0329,3.1209,11.5309,16
376,0,4,0,0,3,42,42,3.8108,6
377,0,0,0,3,0,42,1.9711,42,6
378,0,1,1,5,1,16.4586,4.4678,30.7819,6
379,1,14,1,11,8,21.3206,1.9711,1.544,29
380,0,3,1,8,2,19.6452,3.4166,17.3456,11
381,0,0,0,0,0,42,42,42,5
382,1,2,1,4,0,31.8331,3.1537,0.0329,11
383,0,11,3,6,4,1.7411,1.7411,0.7556,18
384,0,5,2,2,3,5.9461,5.9461,0.9855,9
385,0,3,4,3,2,19.6781,4.205,4.205,22
386,1,20,7,10,12,3.3509,3.8108,3.3509,30
387,1,6,0,4,1,42,21.6491,1.7411,9
388,0,14,4,9,5,3.9422,4.6321,3.3509,26
389,1,52,40,47,28,2.661,0.1643,0.1643,90
390,1,6,1,6,3,10.7096,6.5703,5.092,18
391,0,5,0,0,2,42,42,6.9974,15
392,1,6,2,8,6,9.7898,0.5913,6.5703,19
393,0,9,9,7,7,4.7635,3.975,5.8147,32
394,0,2,0,0,2,42,42,3.8436,6
395,0,9,0,7,2,42,8.8699,0.2957,15
396,0,6,0,3,3,42,0.5913,15.4402,23
397,0,1,0,1,1,42,31.7017,31.7017,5
398,0,0,0,0,0,42,42,42,2
399,0,5,0,1,1,42,0.3614,0.3614,12
400,0,1,0,1,1,42,1.0841,8.9356,5
401,0,6,2,6,5,13.0092,16.2286,16.3929,24
402,0,13,5,4,7,8.3771,11.7937,2.661,19
403,0,4,2,8,4,11.1367,0.5585,5.5848,24
404,0,1,0,0,0,42,42,2.1682,1
405,0,0,0,1,0,42,6.8003,42,2
406,0,13,16,6,11,0.3942,5.5519,0.3942,56
407,0,0,0,1,0,42,11.1367,42,4
408,0,6,0,8,2,42,4.0079,12.7464,15
409,1,7,0,10,3,42,0.8213,2.1682,17
410,0,6,7,8,3,5.3548,5.3548,5.3548,36
411,0,6,4,14,1,8.1143,0.5913,8.7057,17
412,1,14,0,19,9,42,1.774,3.1209,19
413,0,5,0,6,0,42,4.6978,2.431,10
414,0,1,0,4,1,42,2.6281,5.5848,4
415,0,5,0,2,3,42,12.4836,1.2484,19
416,0,4,0,1,1,42,9.8555,9.8555,8
417,1,11,0,9,7,42,0.1643,0.1643,17
418,0,6,3,10,4,6.3403,6.3403,6.3403,13
419,0,3,0,2,1,42,23.3574,3.8108,8
420,0,8,4,10,5,1.0841,1.0841,3.3509,17
421,0,5,6,1,2,7.4573,9.5926,13.0092,28
422,0,4,0,1,2,42,23.5217,18.6597,11
423,0,7,4,4,3,13.9947,22.6675,5.6176,22
424,0,5,1,8,1,0.0986,0.0986,0.0986,10
425,0,2,0,2,1,42,13.6005,13.6005,4
426,0,13,11,10,9,2.6281,5.092,5.092,32
427,1,9,0,13,4,42,1.1827,0.9527,21
428,0,2,0,5,1,42,0.8213,22.7332,5
429,0,5,1,1,2,0.9527,9.067,2.431,17
430,1,4,0,4,1,42,5.4205,0.0657,6
431,0,12,6,7,3,0.2957,0.2957,0.2957,17
432,1,17,3,11,9,22.0105,0.0329,0.0329,18
433,0,4,0,3,2,42,10.4796,7.0302,8
434,0,5,1,6,4,2.2339,1.0184,0.0986,30
435,0,5,0,7,5,42,2.6938,4.4021,17
436,0,10,7,7,2,16.5243,9.5926,16.5243,31
437,0,0,0,0,0,42,42,42,1
438,0,2,4,2,2,21.452,6.406,14.8817,20
439,0,5,5,1,4,13.3049,6.406,1.2155,19
440,1,4,0,3,1,42,0.6242,0.6242,7
441,0,3,0,0,1,42,42,5.7819,4
442,0,0,0,1,0,42,5.9461,42,1
443,0,6,2,11,3,16.7543,0.2957,11.3995,17
444,0,14,0,10,12,42,4.9606,6.3075,23
445,0,18,7,15,13,11.3995,8.18,2.8581,28
446,0,4,3,5,3,10.9396,3.7122,10.9396,24
447,1,7,4,4,3,2.0039,3.5808,5.3219,16
448,1,4,7,7,4,3.975,5.1248,3.1537,27
449,0,8,1,9,6,9.8555,5.9461,4.2707,20
450,1,12,2,3,6,10.9396,13.1406,7.4901,15
451,1,14,4,59,8,6.7346,1.0841,3.7451,65
452,0,2,1,1,1,8.8699,3.4823,3.4823,3
453,1,11,0,14,6,42,0.5913,0.5913,16
454,0,2,3,1,0,7.3916,17.6084,11.071,7
455,0,6,0,4,5,42,6.5046,6.5046,12
456,0,5,4,1,3,3.3837,19.4481,2.8909,9
457,1,13,1,11,8,8.8699,0.5256,0.657,24
458,1,15,3,8,11,5.7819,5.7819,0.0986,22
459,1,10,1,5,5,7.9172,7.0302,3.318,17
460,0,8,1,9,6,17.9041,4.2707,4.2707,14
461,0,2,0,3,1,42,3.3837,10.5125,11
462,0,0,2,4,0,15.5388,2.2011,42,11
463,0,0,3,3,0,0.6242,2.7924,42,11
464,1,3,7,7,3,5.8804,5.8804,3.5808,16
465,1,8,11,19,2,0.6242,0.3285,3.8436,39
466,0,10,2,9,4,29.7963,6.2746,2.4639,20
467,1,9,0,5,1,42,1.3141,1.3141,21
468,1,12,1,8,7,4.0407,0.0657,0.0657,15
469,0,2,0,5,1,42,1.2155,1.2484,7
470,0,8,0,7,4,42,0.1314,6.2746,12
471,0,6,2,8,3,7.5558,6.866,20.8607,21
472,1,4,0,8,4,42,1.544,5.092,8
473,0,3,0,1,0,42,16.9842,0.0329,6
474,1,5,0,10,2,42,0.5913,5.2562,14
475,0,5,0,1,3,42,3.8436,3.8436,18
476,1,12,0,13,6,42,3.4823,4.6978,21
477,1,4,1,1,2,11.5309,11.5309,6.9645,5
478,0,1,1,2,0,24.4744,4.6321,22.3719,10
479,0,4,0,4,1,42,8.9356,8.9356,6
480,0,7,3,11,2,0.1314,0.1314,0.1314,15
481,0,4,1,10,0,1.544,1.0512,1.2484,20
482,0,5,0,16,2,42,0.1643,0.1643,18
483,1,4,0,13,4,42,2.3325,5.7162,14
484,0,3,1,6,3,18.1997,1.774,6.0447,7
485,0,4,1,6,2,16.5243,5.3876,9.7898,9
486,1,11,2,6,6,6.3075,2.6938,2.6938,19
487,0,9,0,3,3,42,0.0657,2.6938,17
488,0,4,1,4,4,1.117,1.117,30.2891,8
489,1,6,4,7,4,6.2418,7.0959,6.2418,21
490,1,5,4,11,5,13.1406,4.6649,4.6649,17
491,1,4,3,5,2,5.4205,7.8844,4.2707,18
492,0,9,1,6,3,19.7438,9.3955,0.7556,29
493,0,10,0,10,5,42,1.544,1.544,27
494,0,1,0,0,1,42,42,8.8699,7
495,0,10,0,4,9,42,7.4573,1.9711,24
496,0,6,2,8,5,26.3469,5.3876,4.5007,13
497,1,1,1,9,1,31.866,3.1209,8.8699,11
498,0,5,3,5,3,0.6242,0.6242,0.6242,13
499,0,6,1,8,3,20.2037,0.3285,10.4796,18
500,0,8,0,2,4,42,2.1353,2.1353,11
501,0,6,0,2,2,42,6.7346,3.7451,8
502,0,1,2,4,1,5.1248,7.7201,28.7779,10
503,0,3,0,1,1,42,6.0775,0.0657,5
504,0,4,0,5,3,42,2.5624,2.5624,14
505,0,1,0,2,1,42,8.2457,31.0118,14
506,0,5,1,8,4,17.1156,0.5913,6.5375,12
507,0,2,1,0,1,8.4757,42,12.2536,28
508,0,0,0,2,0,42,0.3285,42,3
509,0,1,1,4,1,29.9934,5.9461,29.9934,9
510,0,2,0,0,2,42,42,4.2707,6
511,1,11,3,9,7,10.6767,5.9461,1.3141,33
512,1,21,6,21,10,6.5703,5.2562,5.2562,27
513,0,5,0,2,2,42,5.3876,1.5112,12
514,0,6,4,9,4,13.3049,0.5585,8.8371,16
515,0,1,0,2,1,42,17.9041,7.1616,5
516,0,1,0,1,0,42,10.611,10.611,4
